#hint_1|"Terei medo dos Dothraki no dia em que ensinarem seus cavalos a andar sobre água." Ned, para Robert Baratheon
#hint_2|“Nunca se esqueça do que você é, pois com certeza o mundo não esquecerá. Faça disso a sua força. Então, nunca poderá ser sua fraqueza. Arme-se com ela, e nunca será usada para machucá-lo.”, Tyrion Lannister
#hint_3|Benioff elogia o compositor do programa Ramin Djawadi por apresentar uma versão memorável de "As Chuvas de Castamere". No início do processo de desenvolvimento, eles discutiram a ideia de transformar a música tema do programa em "As Chuvas de Castamere", mas Weiss argumentou contra isso, e Benioff concorda que foi a escolha certa.
#hint_4|“Primeiro, tenho que terminar Os Ventos do Inverno e Um Sonho de Primavera”, diz Martin. "Isso vai demorar um pouco. Tenho que escrever rápido, porque esses caras estão me alcançando.” - George R.R. Martin quando questionado se ele faria uma prequela dos livros.
#hint_5|Illyrio Mopatis é um rico e poderoso Magíster na Cidade Livre de Pentos. Ele é negociante de especiarias, pedras preciosas, ossos de dragão e outras coisas.
#hint_6|Por que os personagens não estão em paridade com sua idade no romance? Pois se mostrássemos uma Daenerys de 14 anos sendo estuprada por Khal Drogo, você estaria nos entrevistando sob custódia.
#hint_7|O primeiro livro da série Game of thrones saiu em 1996.
#hint_8|A admiração de Martin pelos lobos veio do apoio ao Wild Spirit Wolf Sanctuary no Novo México.
#hint_9|A maioria do elenco não leu nenhum dos livros. Os atores da série acham que ler os livros e estragar a história vai interferir em como eles retratam seus personagens, e sabendo de seu destino, talvez cause problemas em como eles agem.
#hint_10|O Trono de Ferro foi feito com fogo de dragão e mil espadas.
#hint_11|"Medo é para o inverno, pequeno Senhor, quando a neve cai a centenas de metros de profundidade e o vento gélido vem uivando do norte. Medo é para a longa noite, quando o sol esconde sua face por anos a fio, e pequenas crianças nascem, vivem e morrem em trevas enquanto lobos gigantes uivam ferozes e famintos, e os caminhantes brancos andam entre as florestas." - Velha Ama
#hint_12|"Os Dothraki eram sábios no que se referia a cavalos, mas podiam ser totalmente tolos em relação a muitas outras coisas." Daenerys Targaryen
hint_1|"Você pode ajustar as configurações da modificação de dentro do menu de Acampamento."
hint_2|"Aumente a confiança de seus plebeus ajudando vilas e agricultores."
hint_3|"Sua religião afetará suas habilidades de recrutamento."
hint_4|"Seus homens precisam descansar durante a viagem, caso contrário, sua moral irá diminuir."
hint_5|"Encontre locais escondidos em todo o mapa da campanha para obter alguns pontos de experiência extras."
hint_6|"Não se esqueça de falar com todos que encontrar, alguns podem ter missões especiais para você."
hint_7|"Você pode precisar visitar a Cidadela em Vila Velha para aprender a ler"
hint_8|"Criaturas requerem armas especiais para serem mortas."
hint_9|"Caminhantes Brancos exigem armas especiais para serem mortos."
hint_10|"Fale com um Armoreiro ou Ferreiro para melhorar alguns de seus equipamentos."
hint_11|"Os Dorneses têm alguns dos cavalos mais rápidos do jogo."
hint_12|"Tocar música nas cidades aumentará a moral de seus homens."
hint_13|"Possuir vários locais lhe dará acesso a tropas especiais."
hint_14|"Algumas aldeias permitem o recrutamento de unidades especiais."
hint_15|"Armas valirianas podem ser compradas em um ferreiro em algum lugar em Essos."
hint_16|"Se estiver sendo perseguido no mapa da campanha, você pode esperar nas várias tavernas ou septos espalhados por aí."
hint_17|"Vender prisioneiros para a Patrulha da Noite aumentará seus números."
hint_18|"Se você não quiser vender seus prisioneiros, pode colocá-los para trabalhar nas minas. Lembre-se de ter guardas o suficiente de serviço."
hint_19|"Você pode deixar os homens no campo usando o recurso de alojamento da tropa."
hint_20|"Apenas o primeiro nível do seu assentamento não pode ser atacado."
hint_21|"Criaturas são rápidas, certifique-se de ter uma parede de escudos forte para proteger seus arqueiros."
hint_22|"Você pode comprar um pequeno barco barato para se locomover no início do jogo."
hint_23|"Tente enviar forragem barata com a vanguarda, depois reúna o resto de suas tropas antes que o cerco real comece."
hint_24|"Juntar-se a um exército de Lordes é uma boa maneira de subir de nível e ganhar algumas moedas no início do jogo."
hint_25|"Nascido do Ferro ganha um bônus por viajar nos mares."
hint_26|"Existem muitos locais escondidos em todo o mapa. Você pode encontrar todos eles."
hint_27|"Ser o Rei ou Rainha dos Sete Reinos permite que você capture e envie Lordes para a Muralha."
hint_28|"Ajudar a Patrulha da Noite ajudará a derrotar os Caminhantes Brancos."
hint_29|"O comércio de escravos é proibido em Westeros."
hint_30|"Os meistres podem ser encontrados nos salões dos castelos em Westeros."
hint_31|"Curandeiros podem ser encontrados em cidades por toda Essos."
hint_32|"Existem muitos grupos especiais percorrendo o mapa que você pode conquistar ou recrutar."
hint_33|"Pegue Porto Real e equipe seus companheiros com armadura da Guarda Real para ter seus próprios guardas especiais."
hint_34|"Porta-estandartes e unidades religiosas aumentarão a coragem de seus homens no campo de batalha."
hint_35|"Usar espiões pode ser difícil e caro, mas se for bem-sucedido pode ser devastador."
hint_36|"Quanto mais elevadas forem suas relações com o lorde a quem você está servindo, maior será a chance de obter licença do exército."



