lockitver|DO NOT DELETE THIS LINE! Tradução PTBR - 2015-2021 - by Cláudio Vieira e Evandro Neto
menu_start_game_0|Prepare-se para se aventurar em um mundo de mentiras e traições.
mno_introduccion|Introdução
mno_continue|Continuar...
mno_go_back|Retornar.
menu_start_phase_2|{s2}
mno_westeros_start|Eu estou indo para Westeros
mno_essos_start|Eu estou indo para Essos
menu_start_game_3|Escolha seu cenário:
menu_tutorial|Você se aproxima do campo onde os locais estão praticando com suas armas. Você pode praticar aqui para melhorar suas habilidades de combate.
mno_go_back_dot|Retornar.
menu_reports|Renome do personagem: {reg5}^Medidor de honra: {reg6}^Moral do grupo: {reg8}^Tamanho máximo do grupo: {reg7}^
mno_dplmc_show_economic_report|Ver relatório de prosperidade.
mno_spy_report|Ver relatório espionagem.
mno_troop_quarters|Quartel das Tropas.
mno_reset_static_wars|Desligar as Guerras Estáticas.
mno_lord_relations|Ver lista de lordes conhecidos segundo relação.
mno_courtship_relations|Ver as relações de cortejo.
mno_Companions_overview|Visão geral dos companheiros
mno_view_faction_relations_report|Ver relatório da relação com as facções.
mno_view_player_companion_report|Ver relatório do Jogador e Companheiros.
mno_resume_travelling|Seguir viagem.
menu_custom_battle_scene|(NO TRANS)
menu_custom_battle_end|A batalha acabou. {s1} Seu grupo matou {reg5} inimigos e perdeu {reg6} soldados durante a batalha. Você pessoalmente matou {reg7} homens na batalha.
menu_set_up_game|Por favor, escolha sua preferência. Isso mudará os nomes e as consequências de vários resultados no jogo.
mno_yara_greyjoy|Prefiro que os personagens sejam nomeados de acordo com a série de TV da HBO, GoT
mno_asha_greyjoy|Prefiro que os personagens sejam nomeados de acordo com os livros de ASOIAF
menu_set_up_wars|Escolha seu cenário:^^Guerras estáticas: as facções de Westeros estarão travadas na diplomacia de acordo com as Guerras dos Cinco Reis.^^Mundo aberto: O mesmo que acima, mas todas as facções (exceto a Patrulha da Noite) são livres para declarar guerra e paz como quiserem. Muito parecido com Warband normal.
mno_static_wars|Guerras Estáticas
mno_normal_wars|Mundo Aberto
