lockitver|DO NOT DELETE THIS LINE! Tradução PTBR - 2015-2021 - by Cláudio Vieira e Evandro Neto
ip_morale|Moral
ip_morale_text|A moral representa a capacidade e disposição das tropas em um exército para reunir a resistência, o valor e a disciplina necessária para enfrentar o frenesi dos combates e das longas marchas. Não é o mesmo que a felicidade das tropas. Tropas de elite podem queixar-se e lamentar-se das dificuldades da campanha -- mas logo permanecerão firmemente unidas quando as flechas começarem a voar. Por outro lado, um comandante que dá a seus homens tudo o que lhe pedem pode vir a criar uma tropa muito acomodada, que não possui vigor suficiente para se atrever a lutar.^^O maior impacto da moral é sobre o comportamento do exército em plena batalha. Ela determina a agressividade das tropas ao enfrentar o inimigo, assim como a probabilidade de que seu espírito venha abaixo e todos fujam apavorados enquanto têm a sensação de que o futuro da batalha está se decidindo a seu contra. A moral também afeta a velocidade de um exército em marcha, dado que tropas menos motivadas se moverão mais lentamente, já que os homens não se sentirão motivados a avançar com todas as suas forças e irão querer descansar mais frequentemente, esperando os retardatários.^^Alguns fatores que afetam a moral são claramente intuitivos. Por exemplo, um comandante carismático com uma reputação vitoriosa pode infundir em seus homens um sentimento de confiança. Os líderes que proporcionam a seus homens um amplo e variado suprimento de alimentos e provisões, e pagam as soldadas a tempo, demonstram que se preocupam com o bem-estar de suas tropas, e é menos provável que as leve ao desastre.^^Há também outros fatores menos intuitivos -- em particular os relativos ao sentido de coesão do exército. Em um pequeno grupo muito unido, por exemplo, os homens frequentemente apresentarão dura luta contra todos os prognósticos desalentadores que enfrentem, para evitar mostrar covardia diante dos seus companheiros de armas. Um grande exército, no entanto, pode ter uma fraca coesão, já que o comandante tem menos tempo para supervisionar diretamente a seus homens, ouvir suas queixas, e resolver suas controvérsias. Em qualquer caso, as batalhas frequentes fortalecerão os laços entre os homens, enquanto que os longos períodos de tempo ocioso farão com que as tropas se aborreçam e relaxem muito.^^O relatório da moral, acessível ao clicar o botão "relatórios" permite ao jogador observar como os diferentes fatores afetam a moral de seus homens a cada momento.
ip_economy|Economia
ip_economy_text|As cidades e aldeias em Westeros e Essos necessitam de uma ampla variedade de bens para que sua população permaneça saudável e produtiva. O primeiro lugar em importância é logicamente a comida. O grão é o cultivo básico em toda Westeros e Essos, mas as pessoas também precisam de gorduras e proteínas na forma de carne, pescado ou queijo.  Conservar a carne exige quase tanto trabalho como produzi-la, por isso que há também grande demanda de sal. Depois da comida vem a roupa: lã grossa, tecido leve, ou veludo de luxo. Por último, todos precisam das próprias ferramentas de seu ofício: artigos de ferramentaria, cerâmica, marroquinaria, e, é claro, armaduras, armas e cavalos para a guerra.^^A maioria dos produtos agrícolas são produzidos nas aldeias, enquanto que os artesãos nas cidades emergentes se especializam na fabricação de produtos artesanais, tais como tecidos ou artigos de ferramentaria. Além disso, os diferentes recursos podem ser encontrados em diferentes partes do país. Consequentemente, a chave para a prosperidade em Westeros e Essos é o comércio -- tanto entre as aldeias e as cidades, como entre as cidades mais importantes.^^Quando o comércio flui, os bens estarão disponíveis e acessíveis, a população de uma localidade será saudável e vigorosa, e as pessoas imigrarão das regiões próximas. Uma população que produz mais, consome mais, e poderá contribuir com mais impostos aos seus senhores. Quando o comércio fica estagnado, no entanto, as cidades e aldeias veem como seus trabalhadores vão buscar trabalho em outros lugares, e a atividade econômica fica em um status quo contínuo. Portanto, deve ser de interesse dos governantes proteger as rotas comerciais dos perigos da guerra e da bandidagem. Um mercador inteligente, no entanto, pode desejar buscar cidades que tenham ficado isoladas do resto do território, para tentar converter o desequilíbrio de preços em uma ganância clara.^^Normalmente, os moradores têm previsto adquirir seus produtos no mercado das cidades, os mercados locais florescem em lugares tranquilos, e os aldeões tendem a comprar barato e vender caro, os mercadores se estabelecem nas cidades para obter os melhores benefícios, ainda que em certas ocasiões podem decidir fazer rápidas paradas em alguma aldeia para comprar suprimentos.^^Um jogador que queira saber mais sobre os fatores que afetam a prosperidade de uma região deveria falar com o governante do município local. Para adquirir mais informação não há nada como conversar com os transeuntes, ainda que não saibam muito fora de seu próprio comércio particular.
ip_courtship|Cortejo
ip_courtship_text|Os jogadores podem desejar contrair matrimônio com uma das famílias mais nobres de Westeros e Essos. O casamento não é necessário para que um jogador consiga aumentar seu poder e status social, mas sim para dar aos jogadores a oportunidade de melhorar sua relação com os lordes e demonstrar que possuem direito ao trono.^^Os requisitos do matrimônio são distintos para homens e mulheres. Um personagem masculino geralmente terá que seguir o caminho tradicional de cortejo às damas. Deve se estabelecer com uma reputação adequada entre a sociedade aristocrática da Calradia, obter boas relações com os pais ou tutores de sua noiva, e depois conquistar a mulher de acordo com o costume local. Se um jogador fica impaciente, pode-se tentar tomar um atalho -- mas haverá consequências em suas relações com outros lordes.^^Um personagem masculino deve estar ciente de que outros senhores estarão competindo contra ele pelo amor das damas do reino. Além disso, os gostos de uma dama são imprevisíveis, e um jogador também pode descobrir que o objeto de seu amor não lhe corresponde. Os romances, tanto em Westeros e Essos como em outros lugares, nem sempre chegam a prosperar. Claro, um jogador pode recorrer a outros meios menos cavalheirescos para ganhar o coração de uma dama, mas haverá de novo um grave impacto em sua reputação se seguir por esses caminhos alternativos.^^Para iniciar no caminho do cortejo, um cavalheiro deve tratar de conseguir que lhe permitam participar na vida social da aristocracia calradiana, frequentando a festas e torneios. Além disso, trovadores e poetas errantes podem servir como um bom dispensário de informações úteis sobre o noivado, o que manterá o jogador atualizado sobre os últimos rumores.^^Os personagens femininos podem se casar também -- mas é importante ressaltar que a sociedade de Westerosi é muito tradicional, e, como aventureiras, é elegido um caminho pouco convencional para uma mulher. Em todo o caso, um personagem feminino terá que investir um tempo até encontrar um lorde que tenha a mente suficientemente aberta para casar-se com ela.^^No lado positivo, um personagem feminino não precisa passar pelos elaborados rituais do cortejo, e também pode ganhar mais de um matrimônio que sua contraparte masculina. Para uma mulher aventureira, o casamento pode ser uma rota rápida para o poder -- e se tem um caráter sem escrúpulos, pode até mesmo ser capaz de usar seu marido como mais um instrumento para suas próprias ambições políticas.
ip_politics|Política
ip_politics_text|Os continentes de Westeros e Essos, apesar de apresentarem culturas muito diferentes, todos seguem o mesmo sistema político básico: o feudalismo. O feudalismo se baseia nas relações entre os indivíduos: os juramentos de lealdade prestados por um vassalo a seu senhor. Em retorno deste juramento, o vassalo geralmente receberá um feudo, uma porção de terra cujos recursos serão utilizados por ele para recrutar tropas com as quais apoiarão o soberano em tempos de guerra. Um lorde também tem a obrigação de proteger a seus vassalos, e de tratá-los com justiça.^^Assim é como funciona o sistema, na teoria. Na prática, os vassalos nem sempre desempenham seu trabalho em interesse de toda sua facção, já que muitas vezes lutam entre si. Os nobres têm personalidades muito diferentes e marcadas, e às vezes essas personalidades se chocam. Ou, talvez dois nobres sejam amigos, mas tal relação pode deteriorar-se depois de uma derrota -- ou porque ambos pretendem cortejar a mesma dama. O ciúme também sairá à luz a medida que competem entre si pelo favor de seu rei -- talvez sobre as terras recém-conquistadas, ou sobre suas pretensões de ser nomeado marechal do reino, o lorde encarregado da organização das campanhas militares do reino em larga escala.^^Quando um reino em Westeros e Essos entra em guerra com outro, a unidade política de cada um deles é tão importante quanto a qualidade ou o número de seus soldados para conseguir um resultado vitorioso. Em um reino coeso, os nobres se unirão em uma grande força para varrer seus adversários antes deles. Em um reino dividido por lutas mesquinhas, haverá lordes que não responderão aos chamados de seu marechal, e serão mais relutantes em lutar se a campanha não estiver indo bem. Em uma facção dividida é menos provável que os lordes se juntem às operações e patrulhas, e que ajudem na defesa das terras de outros nobres.^^Se ao jogador lhe parece improdutivo que os nobres se dediquem a discutir e lutar entre si quando o inimigo está no horizonte, deve ter isso em mente -- em última instância, a lealdade de um nobre não vai a uma facção ou cultura em particular, mas sim a si mesmo e a sua família. Se um nobre teme que sua facção está desmoronando ou que está sendo descuidada por seu senhor, geralmente pode encontrar um motivo para retirar seu juramento de fidelidade, e mudar de lado. Os jogadores devem ter isto sempre em mente, já que podem encontrar boas oportunidades para converter antigos inimigos descontentes em novos aliados.
ip_character_backgrounds|Biografia do Personagem
ip_character_backgrounds_text|O jogador pode optar para que seu personagem em Westeros e Essos proceda de uma variedade de origens sociais. Esta escolha afeta não apenas as suas habilidades no início do jogo e sua equipe, mas também o curso de sua carreira como aventureiro.^^A guerra e a política em Westeros e Essos encontram-se tradicionalmente dominadas pela aristocracia masculina. Um personagem jogador nobre pode descobrir que é convidado a este "clube de velhos amigos" com bastante rapidez, mas as mulheres e os plebeus podem enfrentar alguns obstáculos adicionais no caminho. Se o jogador decide iniciar o jogo como um homem nobre, pode-se entender que esta é a forma mais acessível de começar a jogar. Começando como uma dama nobre ou como um plebeu é algo mais difícil, e, claro, começando como uma plebeia o jogador enfrenta provavelmente a maneira mais desafiante de enfrentar o início do jogo.^^No entanto, as mulheres possuem também algumas vantagens no início. Tomando simplesmente as armas, uma guerreira vai chamar a atenção para si mesma, e assim possivelmente poderá construir sua reputação mais rápido do que um homem. Além disso, é tradicionalmente mais fácil para uma mulher contrair matrimônio do que é para um homem, e uma mulher pode perceber que tem mais a ganhar com uma aliança estratégica matrimonial que sua contraparte masculina.^^Por último, o jogador deve estar ciente de que o jogo não limita a mobilidade ascendente dos personagens baseando-se unicamente em seus antecessores. Nobres ou plebeus, homens ou mulheres, casados ou não -- qualquer um pode chegar a se tornar o soberano de toda Westeros e Essos, se for suficientemente corajoso, afortunado, ou habilidoso.
