lockitver|DO NOT DELETE THIS LINE! Tradução PTBR - 2015-2021 - by Cláudio Vieira e Evandro Neto
qst_deliver_message|Entregue a mensagem para {s13}
qst_deliver_message_to_enemy_lord|Entregue a mensagem para {s13}
qst_raise_troops|Levante {reg1} {s14}
qst_escort_lady|Escolte {s13} até {s14}
qst_deal_with_bandits_at_lords_village|Salve a aldeia de {s15} dos bandidos saqueadores
qst_collect_taxes|Arrecade os impostos de {s3}
qst_hunt_down_fugitive|Caçar {s4}
qst_bounty_1|Caçar {s4}
qst_bounty_1_text|O {s9} de {s14} lhe pediu para caçar o fugitivo chamado {s4}. Atualmente, acredita-se que ele esteja em {s3}..
qst_bounty_2|Caçar {s4}
qst_bounty_2_text|O {s9} de {s14} lhe pediu para caçar o fugitivo chamado {s4}. Atualmente, acredita-se que ele esteja em {s3}.
qst_bounty_3|Caçar {s4}
qst_bounty_3_text|O {s9} de {s14} lhe pediu para caçar o fugitivo chamado {s4}. Atualmente, acredita-se que ele esteja em {s3}.
qst_bounty_4|Caçar {s4}
qst_bounty_4_text|O {s9} de {s14} lhe pediu para caçar o fugitivo chamado {s4}. Atualmente, acredita-se que ele esteja em {s3}.
qst_bounty_5|Caçar {s4}
qst_bounty_5_text|O {s9} de {s14} lhe pediu para caçar o fugitivo chamado {s4}. Atualmente, acredita-se que ele esteja em {s3}.
qst_bounty_6|Caçar {s4}
qst_bounty_6_text|O {s9} de {s14} lhe pediu para caçar o fugitivo chamado {s4}. Atualmente, acredita-se que ele esteja em {s3}.
qst_kill_local_merchant|Assassine o mercador local em {s3}
qst_bring_back_runaway_serfs|Traga de volta os servos fugitivos
qst_follow_spy|Siga o espião.
qst_capture_enemy_hero|Capture um lorde de {s13}
qst_lend_companion|Empreste seu companheiro {s3} para {s9}
qst_collect_debt|Cobre a dívida que {s3} deve a {s9}
qst_incriminate_loyal_commander|Incrimine o comandante leal de {s13}, {s16}
qst_meet_spy_in_enemy_town|Encontre o espião em {s13}
qst_capture_prisoners|Traga {reg1} {s3} como prisioneiros
