lockitver|DO NOT DELETE THIS LINE! Tradução PTBR - 2015-2021 - by Cláudio Vieira e Evandro Neto
qstr_{reg61}.0{reg62}|{reg61}.0{reg62}
qstr_{reg61}.{reg62}|{reg61}.{reg62}
qstr_Shot_distance:_{s1}_|Distância do tiro: {s1} metros.
qstr_Gate_was_destroyed.|O portão foi destruído.
qstr_drawbridge_was_destr|A ponte levadiça foi destruída.
qstr_Battering_ram_was_de|Aríete destruído.
qstr_Portcullis_was_destr|Portcullis foi destruído.
qstr_Draw_bridge_was_dest|Ponte levadiça foi destruída.
qstr_{reg1}.0|{reg1}.0
qstr_{reg1}.00{reg2}|{reg1}.00{reg2}
qstr_{reg1}.0{reg2}|{reg1}.0{reg2}
qstr_{reg1}.{reg2}|{reg1}.{reg2}
qstr_A_World_of_Ice_and_F|Um mundo de Gelo e Fogo v7.0
qstr_YouTube:_Produno|YouTube: Produno
qstr_Twitter:_@therealpro|Twitter: @therealproduno
qstr_Next_Page|Próxima Página
qstr_Game_Rules:^|Regras do Jogo:^
qstr_0|0
qstr_Show_game_rules|Mostrar regras do jogo
qstr_Continue...|Continuar...
qstr_Candidate_#1:_{s1}|Candidato #1: {s1}
qstr_Candidate_#2:_{s1}|Candidato #2: {s1}
qstr_{s3}_of_{s4}_wishes_|{s3} de {s4} deseja selecionar um novo marechal e convida seus vassalos para um conselho. {s1} e {s2} são os prováveis ​​candidatos.
qstr_Who_do_you_wish_to_s|Quem você deseja apoiar?
qstr_{s1}_gives_his_suppo|{s1} apoia {s2}.
qstr_Number_of_Supporters|Número de Apoiadores: {reg0}
qstr_{s2}_has_heard_his_v|{s2} escutou o conselho de seus vassalos e escolheu {s1} como o marechal do {s3}.
qstr_Done|Concluído
qstr_Select_your_domestic|Selecione sua política interna
qstr_Centralization:|Centralização:
qstr_Aristocracy:|Aristocracia:
qstr_Serfdom:|Servidão:
qstr_Troop_quality:|Qualidade das tropas:
qstr_Mercantile:|Mercantilismo:
qstr_High_centralization_|Alta centralização reduz a ineficácia dos impostos para o rei e aumenta para os vassalos. Isso irá interferir nas relações entre o governante e seus vassalos.
qstr_High_aristocracy_wil|Alta aristocracia irá melhorar a relação entre o rei e seus vassalos, os quais serão capazes de aumentar seus exércitos. Isso diminuirá o comércio.
qstr_High_serfdom_reduces|Alta servidão reduz a ineficácia dos impostos para o rei e seus vassalos, que poderão manter maiores exércitos. Isso diminui a moral das tropas.
qstr_High_troop_quality_i|Alta qualidade das tropas aumenta a força das tropas, mas diminui o tamanho do exército.
qstr_Mercantile_policies_||Políticas Mercantilistas maximizam as exportações enquanto minimizam as importações, e aumentam a regulação da indústria pelo governo.
qstr_Cancel|Cancelar
qstr_Dictate_the_peace_te|Ditar os termos de paz
qstr_Select_the_castle_an|Selecione o castelo e a quantidade de dinheiro e marque as caixas para ativar a demanda. As demandas são combinadas se ambas as caixas estiverem marcadas.
qstr_1000_silver_stags|1000 veados de prata
qstr__Continue_|Prosseguir
qstr_Select_the_number_of|Selecione o número de emboscadas que deseja implantar.
qstr_____SPY_REPORTS____|    RELATÓRIO DE ESPIÕES    
qstr_Based_on_your_curren|Com base em sua habilidade de liderança atual, você pode enviar até {reg2} espiões.
qstr_You_currently_have_{| Você atualmente tem {reg3} espiões implantados.
qstr___No_spy_selected__|  Nenhum espião selecionado 
qstr___CONTINUE__|  PROSSEGUIR 
qstr_castle|Castelo
qstr_food_stores|lojas de alimentos
qstr_town|cidade
qstr_village|aldeia
qstr_cattle|gado
qstr_You_prepare_a_messag|Você preparou uma mensagem para o seu espião em {s1}, ordenando-lhe que...
qstr__Return_| Retornar
